1,v_Mixing_g18_c02
1,v_Mixing_g01_c07
1,v_Mixing_g21_c04
1,v_Mixing_g04_c07
1,v_Mixing_g13_c01
1,v_Mixing_g02_c02
1,v_Mixing_g16_c03
1,v_Mixing_g02_c03
1,v_Mixing_g17_c01
1,v_Mixing_g20_c03
1,v_Mixing_g12_c03
1,v_Mixing_g05_c03
1,v_Mixing_g12_c02
1,v_Mixing_g05_c04
1,v_Mixing_g01_c03
1,v_Mixing_g19_c02
1,v_Mixing_g24_c03
1,v_Mixing_g20_c01
1,v_Mixing_g09_c03
1,v_Mixing_g19_c01
1,v_Mixing_g23_c03
1,v_Mixing_g12_c01
1,v_Mixing_g02_c06
1,v_Mixing_g21_c03
1,v_Mixing_g09_c06
1,v_Mixing_g15_c01
1,v_Mixing_g15_c03
1,v_Mixing_g14_c04
1,v_Mixing_g06_c05
1,v_Mixing_g07_c02
1,v_Mixing_g11_c06
1,v_Mixing_g15_c04
1,v_Mixing_g09_c02
1,v_Mixing_g16_c04
1,v_Mixing_g11_c01
1,v_Mixing_g23_c04
1,v_Mixing_g12_c05
1,v_Mixing_g15_c02
1,v_Mixing_g14_c03
1,v_Mixing_g25_c01
1,v_Mixing_g13_c05
1,v_Mixing_g01_c05
1,v_Mixing_g06_c06
1,v_Mixing_g18_c03
1,v_Mixing_g09_c05
1,v_Mixing_g16_c02
1,v_Mixing_g05_c01
1,v_Mixing_g20_c02
1,v_Mixing_g10_c05
1,v_Mixing_g03_c02
1,v_Mixing_g10_c04
1,v_Mixing_g01_c01
1,v_Mixing_g03_c04
1,v_Mixing_g14_c06
1,v_Mixing_g10_c01
1,v_Mixing_g02_c01
1,v_Mixing_g04_c06
1,v_Mixing_g03_c07
1,v_Mixing_g22_c02
1,v_Mixing_g14_c07
1,v_Mixing_g06_c04
1,v_Mixing_g04_c02
1,v_Mixing_g03_c06
1,v_Mixing_g12_c04
1,v_Mixing_g07_c05
1,v_Mixing_g03_c01
1,v_Mixing_g07_c03
1,v_Mixing_g14_c05
1,v_Mixing_g22_c03
1,v_Mixing_g25_c04
1,v_Mixing_g22_c04
1,v_Mixing_g21_c02
1,v_Mixing_g06_c01
1,v_Mixing_g03_c03
1,v_Mixing_g23_c01
1,v_Mixing_g17_c02
1,v_Mixing_g05_c07
1,v_Mixing_g02_c04
1,v_Mixing_g16_c01
1,v_Mixing_g17_c04
1,v_Mixing_g01_c02
1,v_Mixing_g08_c03
1,v_Mixing_g09_c01
1,v_Mixing_g14_c01
1,v_Mixing_g13_c03
1,v_Mixing_g15_c05
1,v_Mixing_g24_c01
1,v_Mixing_g06_c02
1,v_Mixing_g01_c04
1,v_Mixing_g23_c02
1,v_Mixing_g03_c05
1,v_Mixing_g14_c02
1,v_Mixing_g18_c04
1,v_Mixing_g04_c01
1,v_Mixing_g11_c02
1,v_Mixing_g05_c02
1,v_Mixing_g01_c06
1,v_Mixing_g24_c04
1,v_Mixing_g18_c01
1,v_Mixing_g04_c03
1,v_Mixing_g12_c06
1,v_Mixing_g17_c03
1,v_Mixing_g05_c05
1,v_Mixing_g13_c04
1,v_Mixing_g06_c03
1,v_Mixing_g08_c02
1,v_Mixing_g11_c03
1,v_Mixing_g11_c05
1,v_Mixing_g24_c02
1,v_Mixing_g13_c06
1,v_Mixing_g04_c05
1,v_Mixing_g22_c01
1,v_Mixing_g02_c05
1,v_Mixing_g20_c04
1,v_Mixing_g09_c07
1,v_Mixing_g09_c04
1,v_Mixing_g07_c04
1,v_Mixing_g11_c07
1,v_Mixing_g19_c03
1,v_Mixing_g15_c07
1,v_Mixing_g04_c04
1,v_Mixing_g21_c01
1,v_Mixing_g25_c03
1,v_Mixing_g10_c03
1,v_Mixing_g10_c02
1,v_Mixing_g12_c07
1,v_Mixing_g08_c01
1,v_Mixing_g19_c04
1,v_Mixing_g15_c06
1,v_Mixing_g07_c01
1,v_Mixing_g25_c02
1,v_Mixing_g13_c02
1,v_Mixing_g11_c04
1,v_Mixing_g08_c05
1,v_Mixing_g05_c06
1,v_Mixing_g08_c04
2,v_Punch_g16_c07
2,v_Punch_g04_c02
2,v_Punch_g01_c02
2,v_Punch_g02_c04
2,v_Punch_g14_c06
2,v_Punch_g21_c02
2,v_Punch_g24_c03
2,v_Punch_g19_c07
2,v_Punch_g22_c05
2,v_Punch_g24_c02
2,v_Punch_g04_c05
2,v_Punch_g13_c02
2,v_Punch_g09_c01
2,v_Punch_g23_c05
2,v_Punch_g17_c04
2,v_Punch_g11_c03
2,v_Punch_g22_c06
2,v_Punch_g25_c05
2,v_Punch_g24_c04
2,v_Punch_g14_c05
2,v_Punch_g14_c01
2,v_Punch_g23_c02
2,v_Punch_g13_c03
2,v_Punch_g19_c01
2,v_Punch_g20_c04
2,v_Punch_g12_c07
2,v_Punch_g08_c03
2,v_Punch_g25_c01
2,v_Punch_g04_c04
2,v_Punch_g25_c07
2,v_Punch_g14_c02
2,v_Punch_g06_c04
2,v_Punch_g18_c06
2,v_Punch_g22_c02
2,v_Punch_g25_c02
2,v_Punch_g08_c01
2,v_Punch_g25_c06
2,v_Punch_g11_c05
2,v_Punch_g18_c07
2,v_Punch_g18_c01
2,v_Punch_g21_c07
2,v_Punch_g15_c06
2,v_Punch_g24_c07
2,v_Punch_g19_c02
2,v_Punch_g19_c03
2,v_Punch_g21_c04
2,v_Punch_g03_c03
2,v_Punch_g18_c03
2,v_Punch_g01_c04
2,v_Punch_g10_c01
2,v_Punch_g17_c05
2,v_Punch_g22_c07
2,v_Punch_g12_c05
2,v_Punch_g10_c06
2,v_Punch_g05_c04
2,v_Punch_g06_c06
2,v_Punch_g12_c06
2,v_Punch_g09_c04
2,v_Punch_g08_c06
2,v_Punch_g18_c02
2,v_Punch_g11_c02
2,v_Punch_g18_c04
2,v_Punch_g07_c02
2,v_Punch_g14_c07
2,v_Punch_g07_c07
2,v_Punch_g09_c05
2,v_Punch_g15_c03
2,v_Punch_g17_c06
2,v_Punch_g09_c06
2,v_Punch_g09_c07
2,v_Punch_g08_c02
2,v_Punch_g16_c01
2,v_Punch_g11_c07
2,v_Punch_g15_c01
2,v_Punch_g21_c01
2,v_Punch_g15_c02
2,v_Punch_g08_c07
2,v_Punch_g12_c01
2,v_Punch_g16_c05
2,v_Punch_g16_c02
2,v_Punch_g09_c02
2,v_Punch_g16_c06
2,v_Punch_g03_c04
2,v_Punch_g13_c05
2,v_Punch_g11_c01
2,v_Punch_g21_c05
2,v_Punch_g22_c03
2,v_Punch_g22_c04
2,v_Punch_g05_c01
2,v_Punch_g11_c06
2,v_Punch_g19_c06
2,v_Punch_g22_c01
2,v_Punch_g12_c03
2,v_Punch_g08_c04
2,v_Punch_g01_c05
2,v_Punch_g23_c07
2,v_Punch_g02_c02
2,v_Punch_g09_c03
2,v_Punch_g19_c05
2,v_Punch_g20_c03
2,v_Punch_g24_c01
2,v_Punch_g17_c03
2,v_Punch_g04_c01
2,v_Punch_g10_c05
2,v_Punch_g13_c01
2,v_Punch_g07_c06
2,v_Punch_g03_c02
2,v_Punch_g07_c01
2,v_Punch_g15_c04
2,v_Punch_g11_c04
2,v_Punch_g08_c05
2,v_Punch_g01_c03
2,v_Punch_g25_c04
2,v_Punch_g04_c03
2,v_Punch_g23_c06
2,v_Punch_g05_c02
2,v_Punch_g13_c04
2,v_Punch_g12_c04
2,v_Punch_g01_c01
2,v_Punch_g05_c07
2,v_Punch_g23_c01
2,v_Punch_g13_c06
2,v_Punch_g20_c02
2,v_Punch_g21_c03
2,v_Punch_g25_c03
2,v_Punch_g17_c02
2,v_Punch_g07_c05
2,v_Punch_g14_c04
2,v_Punch_g06_c02
2,v_Punch_g05_c05
2,v_Punch_g03_c01
2,v_Punch_g17_c01
